username,password,name,surname,nationality,date_of_birth,fide_id,elo_rating,title
louis,0a7608d96738bd9be3c8a0ccea7eb30b6409a7a4670130b335ea8adbf2410329,Louis,Schneider,GER,08-11-1998,FIDE032,2100,Candidate Master
sofia,c5999cf6a8055f0af78b20825c6c184cfda12be5c5c5e81cc5e55954820fa826,Sofia,Russo,ITA,17-02-2000,FIDE033,2250,International Master
ryan,25c4568fb591fe9d82007c37846c8fcc8525092b6432e5346f2a1ff6fa6eb98f,Ryan,Edwards,USA,02-09-1997,FIDE034,2170,FIDE Master
claire,63bb544eb2a266fb11bdd435febf2f24122047cb5726873045645b72739ab60f,Claire,Dupont,FRA,11-01-2002,FIDE035,2225,International Master
jacob,71d554985e0c7b4cec50abf5e536f6d9b9b1e51ccdb6fa1ded6c44d794faa7ef,Jacob,Green,AUS,20-10-1999,FIDE036,2120,Candidate Master
ava,3772bcb281c543580868f7f94687daff75c0384f62a1b809068c3f0d74cce5c0,Ava,Kowalski,POL,04-05-2003,FIDE037,2300,International Master
ethan,37adc2b0fed8bcef6fd9e2ba36761506e402241d89d527e4fe875e977731e7a2,Ethan,Yamamoto,JPN,25-03-1998,FIDE038,2190,FIDE Master
isabella,7bf495288aa47ff132fa2fe73231184f323f98460ab39ba05115f83405036227,Isabella,Moretti,ITA,19-08-2001,FIDE039,2240,International Master
logan,63215906f6a02a01be3c3627cabed7ba013413b3baacd2c883ff0b3497265ea9,Logan,O'Connor,IRL,14-04-1997,FIDE040,2115,Candidate Master
sophia,c9ffa8a71b54a3492bf05583785e869007163973299d253c1b039f38d2856fe2,Sophia,Weber,GER,01-06-2000,FIDE041,2280,International Master
lucas,9188f7372cad4cbdd4372c79c5bfe4e6bf533899aee5a609baee6daddd9169ca,Lucas,Novak,CZE,30-12-1999,FIDE042,2145,Candidate Master
harper,894c3273a08520609a5dcafd39ce2e5dd92c53281a7bc09386fbded1bd46e7fe,Harper,Clarke,UK,06-07-2002,FIDE043,2200,International Master
jamess,be7c5b1d60eb92d8d40c2b073e1e9cf6d14befc1be7b0566383d59cd9583005a,James,Silva,BRA,21-03-1998,FIDE044,2155,FIDE Master
amelia,2293b07a4fa033047d8200ce0a6c4d7fb6025a1e9be8f4fc82f6762503275f34,Amelia,Zhang,CHN,09-09-2001,FIDE045,2275,International Master
benjamin,36d5b3ca77f5ae3996f2036a94bee5d41738352b96e53ea050ef072b948262ac,Benjamin,Fischer,GER,27-01-1997,FIDE046,2095,Candidate Master
ella,176fa2e986d8525ccbeb32cc9a162d48263baae3fdcf108fd40ac5e4a37fa52d,Ella,Svensson,SWE,03-11-2000,FIDE047,2235,International Master
alex,83215920881eea1e83b4b243a6e060519dee74f244c5dee827e52be8896fafca,Alex,Dimitrov,BUL,22-05-1999,FIDE048,2180,FIDE Master
lily,c60eba115cd2cb4fb45197036199af3357a93fb7ef6d06f1170d6aecd68b4927,Lily,Nakamura,USA,12-02-2003,FIDE049,2310,International Master
